08-2001_0	A preparatory study on the capitalization of Portuguese BN has been performed by ( )	DT JJ NN IN DT NN IN NP NP VHZ VBN VVN IN ( )	BackGround	GRelated	Neutral
08-2027_0	Speech repairs are common in spontaneous speech - one study found 30% of dialogue turns contained repairs ( ) and another study found one repair every 4.8 seconds ( )	NN NNS VBP JJ IN JJ NN : CD NN VVD CD IN NN VVZ VVN NNS ( ) CC DT NN VVD CD NN DT CD NNS ( )	BackGround	GRelated	Neutral
08-2027_2	Recent advances in recognizing spontaneous speech with repairs ( ) have used parsing approaches on transcribed speech to account for the structure inherent in speech repairs at the word level and above	JJ NNS IN VVG JJ NN IN NNS ( ) VHP VVN VVG NNS IN VVN NN TO VV IN DT NN JJ IN NN NNS IN DT NN NN CC JJ	BackGround	GRelated	Positive
08-2027_2	I I Figure 1 : Standard tree repair structure, with -UNF propagation as in ( ) shown in brackets	PP PP NP CD : JJ NN NN NN , IN NN NN IN IN ( ) VVN IN NNS	Fundamental	Basis	Neutral
08-2027_2	Figure 1 also shows, in brackets, the augmented annotation used by Hale et al.( )	NN CD RB VVZ , IN NNS , DT JJ NN VVN IN NP NP NP ( )	Fundamental	Basis	Neutral
08-2027_2	The approach used by ( ) works because the information about the transition to an error state is propagated up the tree, in the form of the -UNF tags	DT NN VVN IN ( ) VVZ IN DT NN IN DT NN TO DT NN NN VBZ VVN RP DT NN , IN DT NN IN DT NN NNS	BackGround	SRelated	Neutral
08-2027_2	With this representation, the problem noticed by Hale and colleagues ( ) has been solved in a different way, by incrementally building up left-branching rather than right-branching structure, so that only a single special error rule is required at the end of the constituent	IN DT NN , DT NN VVN IN NP CC NNS ( ) VHZ VBN VVN IN DT JJ NN , IN RB VVG RP VVG RB IN VVG NN , RB IN/that RB DT JJ JJ NN NN VBZ VVN IN DT NN IN DT NN	BackGround	SRelated	Neutral
08-2027_2	To make a fair comparison to the CYK baseline of ( ), the recognizer was given correct part-of-speech tags as input along with words	TO VV DT JJ NN TO DT NP NN IN ( ) , DT NN VBD VVN JJ NN NNS IN NN IN IN NNS	Compare	Compare	Neutral
08-2027_3	The evaluation of this system was performed on the Switchboard corpus, using the mrg annotations in directories 2 and 3 for training, and the files sw4004.mrg to sw4153.mrg in directory 4 for evaluation, following Johnson and Charniak( )	DT NN IN DT NN VBD VVN IN DT NP NN , VVG DT NN NNS IN NNS CD CC CD IN NN , CC DT NNS NN TO NN IN NN CD IN NN , VVG NP CC NP )	Fundamental	Idea	Neutral
08-2027_3	The TAG system ( ) achieves a higher EDIT-F score, largely as a result of its explicit tracking of overlapping words between reparanda and alterations	DT NP NN ( ) VVZ DT JJR NP NN , RB IN DT NN IN PP$ JJ NN IN JJ NNS IN NNS CC NNS	BackGround	SRelated	Positive
08-2027_4	In order to obtain a linguistically plausible right-corner transform representation of incomplete constituents, the Switchboard corpus is subjected to a pre-process transform to introduce binary-branching nonterminal projections, and fold empty categories into nonterminal symbols in a manner similar to that proposed by Johnson ( ) and Klein and Manning ( )	IN NN TO VV DT RB JJ NN VV NN IN JJ NNS , DT NN NN VBZ VVN TO DT NN VV TO VV VVG JJ NNS , CC VV JJ NNS IN JJ NNS IN DT NN JJ TO DT VVN IN NP ( ) CC NP CC NP ( )	Fundamental	Idea	Neutral
08-2027_8	The speech repair terminology used here follows that of Shriberg ( )	DT NN NN NN VVN RB VVZ IN/that IN NP ( )	Fundamental	Idea	Neutral
08-2027_9	The incomplete constituent categories created by the right corner transform are similar in form and meaning to non-constituent categories used in Combinatorial Categorial Grammars (CCGs) ( )	DT JJ NN NNS VVN IN DT JJ NN VV VBP JJ IN NN CC VVG TO JJ NNS VVN IN NP NP NP NN ( )	Fundamental	Idea	Neutral
08-2028_0	The classifiers generally mimic human judgements in that accuracy is much lower in the three-way classification task - a pattern concurring with past observations (cf.Esuli and Sebastiani ( ); Andreevskaia and Bergler ( ))	DT NNS RB VVP JJ NNS IN DT NN VBZ RB JJR IN DT JJ NN NN : DT NN VVG IN JJ NNS NNS CC NP ( NP NP CC NP ( NN	Compare	Compare	Positive
08-2028_0	Non-neutral adjectives were extracted from WordNet and assigned fuzzy sentiment category member-ship/centrality scores and tags in Andreevskaia and Bergler ( )	JJ NNS VBD VVN IN NP CC VVN JJ NN NN NN NNS CC NNS IN NP CC NP ( )	BackGround	GRelated	Neutral
08-2028_1	The semi-supervised learning method in Esuli and Sebastiani ( ) involves constructing a training set of non-neutral words using WordNet synsets, glosses and examples by iteratively adding syn- and antonyms to it and learning a term classifier on the glosses of the terms in the training set	DT JJ VVG NN IN NP CC NP ( ) VVZ VVG DT NN VVN IN JJ NNS VVG NP NNS , NNS CC NNS IN RB VVG NN CC NNS TO PP CC VVG DT NN NN IN DT NNS IN DT NNS IN DT NN NN	BackGround	GRelated	Neutral
08-2028_2	Esuli and Sebastiani ( ) used the method to cover objective (n) cases	NP CC NP ( ) VVN DT NN TO VV JJ NN NNS	BackGround	GRelated	Neutral
08-2028_3	Hatzivassiloglou and McKeown ( ) clustered adjectives into (+) and (-) sets based on conjunction constructions, weighted similarity graphs, minimum-cuts, supervised learning, and clustering	NP CC NP ( ) VVN NNS IN NN CC NN NNS VVN IN NN NNS , JJ NN NNS , NNS , JJ NN , CC VVG	BackGround	GRelated	Neutral
08-2028_5	Kaji and Kitsuregawa ( ) describe a method for harvesting sentiment words from non-neutral sentences extracted from Japanese web documents based on structural layout clues	NP CC NP ( ) VV DT NN IN NN NN NNS IN JJ NNS VVN IN JJ NN NNS VVN IN JJ NN NNS	BackGround	GRelated	Neutral
08-2028_6	Since not all constituents are of equal importance, the sentiment salience of each subconstituent is estimated using a subset of the grammatical polarity rankings and compositional processes proposed in Moilanen and Pulman ( )	IN RB DT NNS VBP IN JJ NN , DT NN NN IN DT NN VBZ VVN VVG DT NN IN DT JJ NN NNS CC JJ NNS VVN IN NP CC NP ( )	Fundamental	Basis	Neutral
08-2028_7	Riloff et al.( ) mined subjective nouns from unannotated texts with two bootstrapping algorithms that exploit lexico-syntactic extraction patterns and manually-selected subjective seeds	NP NP NP ( ) VVN JJ NNS IN JJ NNS IN CD NN NNS WDT VVP JJ NN NNS CC JJ JJ NNS	BackGround	GRelated	Neutral
08-2028_8	Takamura et al.( ) apply to words' polarities a physical spin model inspired by the behaviour of electrons with a (+) or (-) direction, and an iterative term-neighbourhood matrix which models magnetisation	NP NP NP ( ) VV TO NP NNS DT JJ NN NN VVN IN DT NN IN NNS IN DT NN CC NN NN , CC DT JJ NN NN WDT NNS NN	BackGround	GRelated	Neutral
08-2028_9	A popular, more general unsupervised method was introduced in Turney and Littman ( ) which induces the polarity of a word from its Pointwise Mutual Information (PMI) or Latent Semantic Analysis (LSA) scores obtained from a web search engine against a few paradigmatic (+) and (-) seeds	DT JJ , RBR JJ JJ NN VBD VVN IN NP CC NP ( ) WDT VVZ DT NN IN DT NN IN PP$ NP NP NP NP CC NP NP NP NN NNS VVN IN DT NN NN NN IN DT JJ JJ NN CC NN NNS	BackGround	GRelated	Positive
08-2028_10	Strong adjectival subjectivity clues were mined in Wiebe ( ) with a distributional similarity-based word clustering method seeded by hand-labelled annotation	JJ JJ NN NNS VBD VVN IN NP ( ) IN DT JJ JJ NN VVG NN VVN IN JJ NN	BackGround	GRelated	Neutral
08-2029_0	This is the reason why our kernels on linguistic structures improve it by 63%, which is a remarkable result for an IR task ( )	DT VBZ DT NN WRB PP$ NNS IN JJ NNS VV PP IN CD , WDT VBZ DT JJ NN IN DT JJ NN ( )	BackGround	SRelated	Positive
08-2029_1	Question Answering (QA) is an IR task where the major complexity resides in question processing and answer extraction ( ) rather than document retrieval (a step usually carried out by off-the shelf IR engines)	NN NN NN VBZ DT JJ NN WRB DT JJ NN VVZ IN NN NN CC NN NN ( ) RB IN NN NN NN NN RB VVD RP IN JJ NN NN NN	BackGround	SRelated	Neutral
08-2029_2	representations: (1) linear kernels on the bag-of-words (BOW) or bag-of-POS-tags (POS) features, (2) the String Kernel (SK) ( ) on word sequences (WSK) and POStag sequences (POSSK), (3) the Syntactic Tree Kernel (STK) ( ) on syntactic parse trees (PTs), (4) the Shallow Semantic Tree Kernel (SSTK) ( ) and the Partial Tree Kernel (PTK) ( ) on PASs	JJ JJ NNS IN DT NNS NN CC NNS NN NNS , VVG NP NP NN ( ) IN NN NNS NN CC NN NNS JJ , JJ NP NP NP NN ( ) IN JJ VVP NNS JJ , JJ NP NP NP NP NN ( ) CC DT NP NP NP NN ( ) IN NP	Fundamental	Basis	Neutral
08-2029_6	Then, two PAS-based trees: Shallow Semantic Trees for SSTK and Shallow Semantic Trees for PTK, both based on PropBank structures ( ) are automatically generated by our SRL system ( )	RB , CD JJ NN NP NP NP IN NP CC NP NP NP IN NP , CC VVN IN NP NNS ( ) VBP RB VVN IN PP$ NP NN ( )	Fundamental	Basis	Neutral
08-2029_7	The experimental datasets were created by submitting the 138 TREC 2001 test questions labeled as "description" in ( ) to our basic QA system, YourQA ( ) and by gathering the top 20 answer paragraphs	DT JJ NNS VBD VVN IN VVG DT CD NP CD NN NNS VVN IN NN IN ( ) TO PP$ JJ NP NN , NP ( ) CC IN VVG DT JJ CD NN NNS	Fundamental	Basis	Neutral
08-2029_8	As a kernel operator, we applied the sum between kernels 5 that yields the joint feature space of the individual kernels ( )	IN DT NN NN , PP VVD DT NN IN NNS CD WDT VVZ DT JJ NN NN IN DT JJ NNS ( )	Fundamental	Basis	Neutral
08-2029_9	Although typical methods are based exclusively on word similarity between query and answer, recent work, e.g.( ) has shown that shallow semantic information in the form of predicate argument structures (PASs) improves the automatic detection of correct answers to a target question	IN JJ NNS VBP VVN RB IN NN NN IN NN CC NN , JJ NN , FW ( ) VHZ VVN IN/that JJ JJ NN IN DT NN IN JJ NN NNS NN VVZ DT JJ NN IN JJ NNS TO DT NN NN	BackGround	GRelated	Positive
08-2030_0	Since the dictionary we use, BAMA ( ), also includes diacritics (orthographic marks not usually written), we extend this approach to the diacritization task in ( )	IN DT NN PP VVP , NP ( ) , RB VVZ NNS JJ NNS RB RB JJ , PP VVP DT NN TO DT NN NN IN ( )	Fundamental	Basis	Neutral
08-2030_2	Hajic et al.( ) implement the approach of Hajic ( ) for Arabic	NP NP NP ( ) VV DT NN IN NP ( ) IN NP	BackGround	GRelated	Neutral
08-2030_3	Hajic ( ) is the first to use a dictionary as a source of possible morphological analyses (and hence tags) for an inflected word form	NP ( ) VBZ DT JJ TO VV DT NN IN DT NN IN JJ JJ NNS NN RB JJ IN DT VVN NN NN	BackGround	GRelated	Positive
08-2030_4	We use an implementation of a Downhill Simplex Method in many dimensions based on the method developed by Nelder and Mead ( ) to tune the weights applied to each feature	PP VVP DT NN IN DT NP NP NP IN JJ NNS VVN IN DT NN VVN IN NP CC NP ( ) TO VV DT NNS VVN TO DT NN	Fundamental	Basis	Neutral
08-2030_5	We also build 4-gram lexeme models using an open-vocabulary language model with Kneser-Ney smoothing, by means of the SRILM toolkit ( )	PP RB VVP JJ NN NNS VVG DT JJ NN NN IN NP VVG , IN NNS IN DT NP NN ( )	Fundamental	Basis	Neutral
08-2030_6	These 19 features consist of the 14 morphological features shown in Figure 1, which MADA predicts using 14 distinct Support Vector Machines trained on ATB3-Train (as defined by Zitouni et al.( ))	DT CD NNS VVP IN DT CD JJ NNS VVN IN NP CD , WDT NP VVZ VVG CD JJ NP NP NP VVN IN NP NNS VVN IN NP NP NP ( NN	Fundamental	Basis	Neutral
